"","Views","Title","Department","Details","Amount","Date","Place","ID"
"382","312 views","
                      I Paid Rs. 2000 to Transport in Jalandhar.
                    ","Transport","New Domestic Driving License","Paid INR 2,000
                        ","October 14, 2015","Jalandhar
                      , Punjab","79045"
"383","243 views","
                      I Paid Rs. 6000 to Municipal Services in Abohar.
                    ","Municipal Services","Birth Certificate","Paid INR 6,000
                        ","October 14, 2015","Abohar
                      , Punjab","79044"
"384","205 views","
                      I Paid Rs. 11 to Municipal Services in Kota.
                    ","Municipal Services","Birth Certificate","Paid INR 11
                        ","October 14, 2015","Kota
                      , Rajasthan","79031"
"385","246 views","
                      I Paid Rs. 200 to Food, Civil Supplies and Consumer Affairs in Banda.
                    ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","Paid INR 200
                        ","October 14, 2015","Banda
                      , Uttar Pradesh","79030"
"386","202 views","
                      I Paid Rs. 123 to Others in Bharatpur.
                    ","Others","Others","Paid INR 123
                        ","October 14, 2015","Bharatpur
                      , Rajasthan","79025"
"387","186 views","
                      I Paid Rs. 10 to Food, Civil Supplies and Consumer Affairs in Salem.
                    ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","Paid INR 10
                        ","October 14, 2015","Salem
                      , Tamil Nadu","79024"
"388","152 views","
                      I Paid Rs. 500 to Municipal Services in Nagaon.
                    ","Municipal Services","Birth Certificate","Paid INR 500
                        ","October 14, 2015","Nagaon
                      , Assam","79014"
"389","186 views","
                      I Paid Rs. 200 to Police in Nainital.
                    ","Police","Traffic Violations","Paid INR 200
                        ","October 14, 2015","Nainital
                      , Uttarakhand","79013"
"390","195 views","
                      I Paid Rs. 5000 to Transport in Adilabad.
                    ","Transport","Duplicate Registration Certificate","Paid INR 5,000
                        ","October 14, 2015","Adilabad
                      , Telangana","79007"
"391","145 views","
                      I Paid Rs. 10 to Municipal Services in Abhayapuri.
                    ","Municipal Services","Birth Certificate","Paid INR 10
                        ","October 14, 2015","Abhayapuri
                      , Assam","79004"
"392","81 views","
                      I Paid Rs. 250000 to Municipal Services in Baran.
                    ","Municipal Services","Birth Certificate","Paid INR 2,50,000
                        ","October 14, 2015","Baran
                      , Rajasthan","78998"
"393","167 views","
                      I Paid Rs. 30000 to Municipal Services in Bangalore.
                    ","Municipal Services","Birth Certificate","Paid INR 30,000
                        ","October 14, 2015","Bangalore
                      , Karnataka","78989"
"394","148 views","
                      I Paid Rs. 3000 to Others in Bijnaur.
                    ","Others","Others","Paid INR 3,000
                        ","October 14, 2015","Bijnaur
                      , Uttar Pradesh","78985"
"395","150 views","
                      I Paid Rs. 100 to Others in Bilaspur.
                    ","Others","Others","Paid INR 100
                        ","October 14, 2015","Bilaspur
                      , Chhattisgarh","78977"
"396","152 views","
                      I Paid Rs. 10 to Commercial Tax, Sales Tax, VAT in Ghaziabad.
                    ","Commercial Tax, Sales Tax, VAT","C Form","Paid INR 10
                        ","October 14, 2015","Ghaziabad
                      , Uttar Pradesh","78974"
"397","100 views","
                      I Paid Rs. 70000 to Municipal Services in Bagaha.
                    ","Municipal Services","Birth Certificate","Paid INR 70,000
                        ","October 14, 2015","Bagaha
                      , Bihar","78970"
"398","160 views","
                      I Paid Rs. 500 to Municipal Services in Abohar.
                    ","Municipal Services","Birth Certificate","Paid INR 500
                        ","October 14, 2015","Abohar
                      , Punjab","78969"
"399","135 views","
                      I Paid Rs. 10 to Municipal Services in Varanasi.
                    ","Municipal Services","Birth Certificate","Paid INR 10
                        ","October 14, 2015","Varanasi
                      , Uttar Pradesh","78967"
"400","230 views","
                      Police verification for Passport
                    ","Public Works Department","Public Works","Paid INR 500
                        ","October 13, 2015","Bangalore
                      , Karnataka","78934"
"401","260 views","
                      I Paid Rs. 5000 to Police in Bangalore.
                    ","Police","Traffic Violations","Paid INR 5,000
                        ","October 13, 2015","Bangalore
                      , Karnataka","78925"
